LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	TRIP COMMENTS
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--Jurong East Station	L1385377	P	1.3343396	103.7414586	2012-02-18	13:30:00	obs238498	S10084318	Incidental	P20	EBIRD_CAN				2	1	G366433	
2012-03-20 03:28:04	Singapore	SG	Singapore	SG-							SG--Jurong East Station	L1385377	P	1.3343396	103.7414586	2012-03-03	11:30:00	obs205759	S10065395	Incidental	P20	EBIRD				2	1		
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-02	12:00:00	obs205759	S10065329	Incidental	P20	EBIRD_CAN				2	1	G366392	
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-02-20	09:00:00	obs238498	S10084277	Incidental	P20	EBIRD_CAN				2	1	G366411	
2017-07-05 13:20:48	Singapore	SG	Singapore	SG-							Singapore Botanic Gardens	L952084	H	1.3148322	103.8159621	2012-06-07	07:00:00	obs252606	S11180933	Traveling	P22	EBIRD	300	4.828		1	1		Trip Report;--http://redgannet.blogspot.co.uk/2012/06/botanic-gardens-in-singapore-june-2012.html
2017-07-05 13:17:16	Singapore	SG	Singapore	SG-							Pasir Ris Park: Mangrove Boardwalk	L1533813	H	1.3784986	103.9527279	2012-06-06	15:00:00	obs252606	S11180934	Traveling	P22	EBIRD	240	4.828		1	1		Trip Report;--http://redgannet.blogspot.co.uk/2012/06/venus-transit-and-paser-ris-singapore.html
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-03	08:00:00	obs205759	S10065340	Incidental	P20	EBIRD_CAN				2	1		
2017-05-27 09:14:14	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-03	17:00:00	obs205759	S10065393	Incidental	P20	EBIRD				1	1		
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-06	08:15:00	obs205759	S10097966	Incidental	P20	EBIRD				1	1		
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--NTU campus	L1361109	P	1.348154	103.6850663	2012-03-06	18:00:00	obs205759	S10100042	Incidental	P20	EBIRD_CAN				1	1		
2017-05-27 10:36:01	Singapore	SG	Singapore	SG-							SG--Little India station	L1439490	P	1.3072999	103.8495165	2012-03-02	15:00:00	obs238498	S10084248	Incidental	P20	EBIRD_CAN				2	1	G366393	
2017-05-27 10:35:22	Singapore	SG	Singapore	SG-							SG--Neo Tiew Crescent	L1388640	P	1.4418151	103.7321185	2012-03-16	17:30:00	obs205759	S10184475	Traveling	P22	EBIRD_CAN	15	.3		1	1		
